date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES
2017-01-26,173.62417396275,40.295697265749,59.711651881499996,106.09,113.63423731571999,39.23346384338794,112.88,10.52,165.24594521111,10.746653671398999
2017-01-27,174.27224519233997,40.335048532609996,58.473953205320996,108.85,113.06572306019,39.37262485017979,113.99,10.67,164.11767984501998,10.919059880031
2017-01-30,172.24947741514998,40.344886349325,58.89301653662599,106.15,112.35998122574,39.37262485017979,113.82,10.61,164.37728072571002,10.852013021118
2017-01-31,171.66032175189,41.092560419685995,59.555721339619,106.37,111.61503151161001,39.969029165002,113.38,10.37,163.98787940467,11.074668060801999
2017-02-01,172.00399588878997,41.643478155741,59.341316844533004,105.59,110.9681014967,40.227471034758295,113.36,12.06,160.3434824257,10.881054982816
2017-02-02,171.03188904441,42.056666457782995,59.341316844533004,104.1,111.38958620338,40.227471034758295,113.16,12.28,162.09079604575,10.958500214011
2017-02-03,171.87634549508,42.086179907928,59.126912349447004,104.96,112.22275364682,39.77022772672792,115.17,12.24,162.50016666531,11.006903483507
2017-02-06,171.93526106141002,41.741856322894,59.107421031712,110.5,111.91889257921999,39.94914902117459,114.46,13.63,160.02397364946,10.929458252313001
2017-02-07,172.58333229099,42.194395891796,59.019710101904,109.94,113.62443534578999,39.809988014382746,114.96,13.29,158.93564688038998,11.064987406903
2017-02-08,173.86965548911,41.712342872747996,58.980727466434004,108.73,113.14413881956999,38.95514182980424,116.13,13.56,162.4801973668,11.219877869291999
2017-02-09,174.95959346613998,41.850072306762,59.292588550195,108.45,114.66344415761999,39.49190571314423,116.44,13.42,164.57697371086002,11.1037100225
2017-02-10,175.7647728726,42.046828641067,58.883270877758,108.64,115.27116629283,46.946959648421895,116.85,13.58,163.79817106878,11.239239177089999
2017-02-13,177.74826360557,42.5190438434,58.970981807566005,107.38,116.2415613152,45.426128645625255,117.65,13.49,162.14071929204,11.307003754384999
2017-02-14,178.31778074673,42.942069962157,59.273097232459996,108.96,117.62363907432,44.710443467838594,117.58,13.26,164.11767984501998,11.123071330299
2017-02-15,179.56973653115003,43.286393547191,60.081986918466995,110.62,117.55502528486,45.207447063523766,118.73,13.3,163.6284320314,11.190835907593998
2017-02-16,181.25968837193,43.483149881497,59.916310717719,114.25,118.32938090876999,45.11798641630045,118.93,12.97,160.742868396,11.277961792688
2017-02-17,180.80508144400002,43.965202900544995,60.198934824877995,116.57,118.82928137483,45.05834598481822,119.67,13.13,161.33196270219,11.094029368601001
2017-02-21,181.22015733472,44.280013035433996,60.257408778083,117.81,119.68205275812001,45.06828605673193,119.63,14.0,160.90262278411998,11.403810293378001
2017-02-22,183.85885406855,44.280013035433996,59.799362811308,117.0,119.78987442727,44.95894526568118,119.47,14.28,159.43487934326998,11.229558523190999
2017-02-23,184.99537138837,44.663687887329,60.364611025626004,116.89,120.05452761519,44.80984418697563,118.83,14.32,157.4778880888,11.374768331681
2017-02-24,185.21279209303,44.939146755357,60.510795908639004,117.14,120.98571475786001,45.2770275669197,119.31,14.12,157.08848676776,11.549020101868
2017-02-27,184.71865412788998,44.722714787621,60.637489473918,117.94,120.35838868280001,45.41618857371154,118.78,15.2,156.69908544671998,10.784248443823
2017-02-28,184.16521960694,44.348877752441,60.267154436950996,117.97,120.07413155504,44.85954454654415,118.34,14.46,156.36959202122,11.152113291997
2017-03-01,187.63406812221,44.850606404919006,61.231974664838,121.29,121.61304083291999,46.85749900119857,120.35,14.96,156.43948456603002,10.987542175708
2017-03-02,187.66371640011002,44.948984572072,61.641292337276,120.05,121.88749599076,46.4002556931682,119.9,13.9,157.11844071553003,11.258600484889
2017-03-03,187.09051636055,44.5161206366,61.729003267083996,120.73,121.19155612623999,46.787918497802636,120.04,13.03,155.11152621478,11.181155253695
2017-03-06,186.68532322913998,44.398066836017,61.933662103302005,119.79,120.79947732933,47.523483819416704,120.15,13.04,154.01321479646,11.152113291997
2017-03-07,186.87309565589,44.270175218718,62.07010132744799,120.03,121.68165462238001,47.77198561725929,119.98,13.05,151.75668406427,10.968180867910002
2017-03-08,187.28817154661,44.624336620468,62.508655976488,120.13,121.99531765991999,48.288869356771876,119.6,13.22,154.97174112518,10.716483866528
2017-03-09,187.67359915942,44.889957671779996,62.85949969572,120.17,120.74066550978998,48.72623252097485,119.91,13.33,154.91183322963002,10.706803212629
2017-03-10,188.96824062808,44.978498022218,64.204400619442,121.21,121.475813254,48.90515381542149,121.09,13.91,153.73364461725,10.793929097722001
2017-03-13,189.27460616646,44.791579504628,64.17516364284,121.69,121.58363492316002,49.20335597283261,121.8,14.28,154.11306128904,10.668080597031
2017-03-14,188.09855780944,44.073418884413,63.999741783224,120.53,121.45620931416,48.78587295245707,121.44,14.1,153.47404373656,10.648719289233
2017-03-15,188.95835786878,44.584985353606996,64.857359763568,122.97,122.32858463728998,48.92503395924891,122.11,13.98,152.68525644522,10.948819560111
2017-03-16,188.07879229083,44.250499585288,64.223891937177,122.91,121.64244674269,48.805753096284455,122.35,13.65,153.17450425883,10.939138906212001
2017-03-17,190.1047579479,44.457093736309005,64.019233100959,123.97,122.74026737405,48.835573312025566,127.01,13.49,152.16605468383003,11.094029368601001
2017-03-20,190.74713730258,44.250499585288,64.126435348502,123.59,121.92670387046002,48.66659208949261,126.31,14.4,152.20599328086,10.842332367218999
2017-03-21,189.87745448393002,44.073418884413,63.687880699462006,122.27,122.17175311853,47.93102676787855,125.07,13.82,150.98786607145001,10.939138906212001
2017-03-22,189.96639931766003,44.08325670112799,63.85355690021,123.47,123.97531558433,48.388270075908906,126.21,14.1,151.09769721328001,10.793929097722001
2017-03-23,189.88733724323998,44.043905434266996,63.98025046548899,123.75,118.36858878846,48.48767079504596,126.87,13.79,150.60825534354998,10.822971059419999
2017-03-24,189.26472340716,44.004554167406,63.951013488886005,124.89,116.62383814219,48.82563324011186,127.7,13.7,149.55945133698,10.871374328917
2017-03-27,188.19738540246001,43.97504071726,64.418805114528,125.26,117.02571890903,49.00455453455854,128.25,13.7,147.63164968680002,10.774567789924
2017-03-28,188.75081992341998,43.97504071726,64.301857208118,125.05,118.94690501391001,49.76,128.69,13.69,148.19101182364,10.948819560111
2017-03-29,188.44445438503,43.945527267114,64.097198371899,124.88,118.58423212676,50.14,129.58,13.71,149.49951967946,10.890735636715
2017-03-30,189.0374199432,43.827473466531,63.79508294700499,125.0,118.13334151031,50.19,129.61,14.05,148.50065872081998,10.726164520427
2017-03-31,189.08683373971002,43.689744032517005,63.502713180978006,125.2,117.50601543524999,49.86,130.13,14.55,148.09112572778,10.822971059419999
2017-04-03,188.48398542223998,43.748770932809,63.376019615699995,125.05,115.31037417253,49.53,129.59,14.64,145.33426948193002,10.83265171332
2017-04-04,187.96019917919998,43.463474248066,63.453984886640995,124.08,115.70245296943999,49.04,130.04,14.16,142.87707152368,10.910096944514
2017-04-05,188.00961297570998,43.089637212886,63.307800003627,123.4,115.31037417253,49.2,129.89,14.17,142.57741323609,10.803609751622
2017-04-06,187.66371640011002,42.961745595587,63.424747910038,125.54,114.49681066893,49.36,130.15,13.27,142.39761826353998,10.803609751622
2017-04-07,187.76254399313999,43.119150663031995,63.873048217945005,125.49,115.11433477407,49.61,130.22,13.52,141.88819917463002,10.687441904830001
2017-04-10,187.48582673266998,42.883043061865,63.317545662495,125.16,115.50641357098,49.04,130.16,13.1,142.67729933196,10.793929097722001
2017-04-11,187.84160606756,43.133907388105,63.171360779482,125.87,114.96730522523,49.08,129.95,13.1,143.29659312631,10.948819560111
