date,adj_close,open,close
2017-06-05,143.59,144.14,143.59
2017-06-06,143.03,143.35,143.03
2017-06-07,143.62,143.33,143.62
2017-06-08,142.63,143.96,142.63
2017-06-09,138.05,143.14,138.05
2017-06-12,137.25,133.72,137.25
2017-06-13,139.09,138.79,139.09
2017-06-14,138.25,139.29,138.25
2017-06-15,137.52,136.63,137.52
2017-06-16,137.84,137.35,137.84
2017-06-19,140.35,138.79,140.35
2017-06-20,140.91,141.21,140.91
2017-06-21,144.24,145.08,144.24
2017-06-22,143.7,145.15,143.7
2017-06-23,145.41,143.75,145.41
2017-06-26,144.96,146.06,144.96
2017-06-27,142.54,144.33,142.54
2017-06-28,143.81,143.01,143.81
2017-06-29,141.24,143.06,141.24
2017-06-30,141.44,141.87,141.44
2017-07-03,138.41,141.73,138.41
2017-07-05,141.21,138.65,141.21
2017-07-06,140.83,139.73,140.83
2017-07-07,142.22,141.07,142.22
2017-07-10,143.34,142.21,143.34
2017-07-11,142.93,142.99,142.93
2017-07-12,145.91,144.0,145.91
2017-07-13,145.06,145.91,145.06
2017-07-14,146.16,145.59,146.16
2017-07-17,146.4,146.16,146.4
2017-07-18,147.89,146.47,147.89
2017-07-19,148.92,147.89,148.92
2017-07-20,149.94,149.07,149.94
2017-07-21,149.52,149.16,149.52
2017-07-24,149.53,149.16,149.53
2017-07-25,148.21,149.82,148.21
2017-07-26,149.78,148.62,149.78
2017-07-27,146.2,149.87,146.2
2017-07-28,146.73,145.77,146.73
2017-07-31,146.49,146.36,146.49
2017-08-01,147.36,147.48,147.36
2017-08-02,147.13,147.56,147.13
2017-08-03,147.79,147.47,147.79
2017-08-04,147.71,148.25,147.71
2017-08-08,147.81,148.14,147.81
2017-08-09,148.35,146.68,148.35
2017-08-10,144.92,147.23,144.92
2017-08-11,146.47,145.25,146.47
2017-08-14,149.16,147.81,149.16
2017-08-15,150.36,149.56,150.36
2017-08-16,151.8,150.7,151.8
2017-08-17,148.23,151.66,148.23
2017-08-18,147.97,147.74,147.97
2017-08-21,149.26,148.05,149.26
2017-08-22,152.25,150.14,152.25
2017-08-23,151.1,152.18,151.1
2017-08-24,150.81,151.22,150.81
2017-08-25,151.45,152.0,151.45
2017-08-28,151.79,151.87,151.79
2017-08-29,152.14,150.55,152.14
2017-08-30,153.67,152.05,153.67
2017-08-31,155.16,154.36,155.16
2017-09-01,155.06,155.76,155.06
2017-09-05,154.28,154.83,154.28
2017-09-06,153.76,155.11,153.76
2017-09-07,155.47,154.49,155.47
2017-09-08,155.34,155.24,155.34
2017-09-11,156.87,156.59,156.87
2017-09-12,156.31,156.76,156.31
2017-09-13,156.24,155.88,156.24
2017-09-14,154.95,155.37,154.95
2017-09-15,154.49,154.9,154.49
2017-09-18,155.77,155.01,155.77
2017-09-19,156.6,156.3,156.6
2017-09-20,149.96,151.99,149.96
2017-09-21,149.3,150.38,149.3
2017-09-22,148.5,148.69,148.5
2017-09-25,144.57,148.39,144.57
2017-09-26,145.4,145.5,145.4
2017-09-27,146.43,146.31,146.43
2017-09-28,146.83,146.14,146.83
2017-09-29,149.18,146.69,149.18
2017-10-02,147.94,149.79,147.94
2017-10-03,148.6,148.48,148.6
2017-10-04,147.95,148.21,147.95
2017-10-05,150.25,148.49,150.25
2017-10-06,151.12,149.96,151.12
2017-10-09,151.5,150.76,151.5
2017-10-10,152.15,152.0,152.15
2017-10-11,153.65,152.09,153.65
2017-10-12,153.61,153.72,153.61
2017-10-13,153.93,153.96,153.93
2017-10-16,150.46,151.15,150.46
2017-10-17,150.38,150.52,150.38
2017-10-18,153.0,150.33,153.0
2017-10-19,171.73,165.5,171.73
2017-10-20,175.64,171.5,175.64
2017-10-23,172.16,175.68,172.16
2017-10-24,171.58,171.47,171.58
2017-10-25,171.83,170.37,171.83
2017-10-26,173.75,172.06,173.75
2017-10-27,177.33,174.02,177.33
2017-10-30,176.03,177.0,176.03
2017-10-31,175.16,176.16,175.16
2017-11-01,176.25,176.59,176.25
2017-11-02,180.94,178.02,180.94
2017-11-03,182.3,181.76,182.3
2017-11-06,180.8,182.01,180.8
2017-11-07,180.88,181.23,180.88
